Tiempo,wd,ws
2018-01-20 00:00:00,332.7,13.53
2018-01-20 00:00:01,331.3,13.63
2018-01-20 00:00:02,329.4,13.85
2018-01-20 00:00:03,331.8,13.08
2018-01-20 00:00:04,334.2,12.33
2018-01-20 00:00:05,336.2,12.76
2018-01-20 00:00:06,338.2,11.77
2018-01-20 00:00:07,343.8,11.67
2018-01-20 00:00:08,340.2,11.44
2018-01-20 00:00:09,341.0,10.79
2018-01-20 00:00:10,338.1,11.41
2018-01-20 00:00:11,340.6,12.52
2018-01-20 00:00:12,345.6,12.28
2018-01-20 00:00:13,344.9,12.6
2018-01-20 00:00:14,349.0,12.5
2018-01-20 00:00:15,344.0,12.74
2018-01-20 00:00:16,336.4,13.12
2018-01-20 00:00:17,338.1,11.88
2018-01-20 00:00:18,342.1,13.13
2018-01-20 00:00:19,346.7,12.66
2018-01-20 00:00:20,347.5,12.14
2018-01-20 00:00:21,346.5,11.69
2018-01-20 00:00:22,343.9,11.17
2018-01-20 00:00:23,332.7,11.82
2018-01-20 00:00:24,342.5,12.46
2018-01-20 00:00:25,351.4,13.32
2018-01-20 00:00:26,345.1,11.74
2018-01-20 00:00:27,330.2,10.52
2018-01-20 00:00:28,337.5,10.04
2018-01-20 00:00:29,341.6,11.53
2018-01-20 00:00:30,336.7,10.64
2018-01-20 00:00:31,335.4,10.22
2018-01-20 00:00:32,341.9,10.66
2018-01-20 00:00:33,342.7,10.6
2018-01-20 00:00:34,339.1,10.82
2018-01-20 00:00:35,336.0,11.92
2018-01-20 00:00:36,328.7,12.23
2018-01-20 00:00:37,332.3,11.68
2018-01-20 00:00:38,334.0,11.7
2018-01-20 00:00:39,340.3,10.86
2018-01-20 00:00:40,344.8,10.23
2018-01-20 00:00:41,338.4,9.7
2018-01-20 00:00:42,338.4,10.9
2018-01-20 00:00:43,340.7,12.27
2018-01-20 00:00:44,344.2,11.43
2018-01-20 00:00:45,341.5,11.66
2018-01-20 00:00:46,344.8,11.64
2018-01-20 00:00:47,346.7,11.53
2018-01-20 00:00:48,342.8,11.58
2018-01-20 00:00:49,339.4,11.6
2018-01-20 00:00:50,337.1,11.6
2018-01-20 00:00:51,335.4,11.35
2018-01-20 00:00:52,338.2,11.53
2018-01-20 00:00:53,344.1,11.22
2018-01-20 00:00:54,343.1,10.72
2018-01-20 00:00:55,330.8,9.93
2018-01-20 00:00:56,342.9,10.22
2018-01-20 00:00:57,344.5,9.33
2018-01-20 00:00:58,342.3,10.22
2018-01-20 00:00:59,343.5,10.1
2018-01-20 00:01:00,344.1,10.1
2018-01-20 00:01:01,342.4,11.24
2018-01-20 00:01:02,341.6,12.29
2018-01-20 00:01:03,344.3,13.67
2018-01-20 00:01:04,341.0,14.23
2018-01-20 00:01:05,338.7,13.47
2018-01-20 00:01:06,340.0,12.86
2018-01-20 00:01:07,339.1,13.09
2018-01-20 00:01:08,339.4,12.93
2018-01-20 00:01:09,345.9,13.89
2018-01-20 00:01:10,350.2,13.54
2018-01-20 00:01:11,350.5,12.55
2018-01-20 00:01:12,353.0,12.86
2018-01-20 00:01:13,349.9,12.24
2018-01-20 00:01:14,350.9,12.52
2018-01-20 00:01:15,353.0,13.92
2018-01-20 00:01:16,358.9,13.36
2018-01-20 00:01:17,3.1,13.8
2018-01-20 00:01:18,3.6,13.72
2018-01-20 00:01:19,2.3,14.1
2018-01-20 00:01:20,0.5,13.43
2018-01-20 00:01:21,359.1,12.87
2018-01-20 00:01:22,359.6,13.5
2018-01-20 00:01:23,0.4,12.95
2018-01-20 00:01:24,351.5,12.71
2018-01-20 00:01:25,347.9,11.73
2018-01-20 00:01:26,349.2,11.45
2018-01-20 00:01:27,346.0,11.28
2018-01-20 00:01:28,345.3,11.28
2018-01-20 00:01:29,344.8,11.36
2018-01-20 00:01:30,343.7,10.64
2018-01-20 00:01:31,338.9,10.38
2018-01-20 00:01:32,344.2,10.47
2018-01-20 00:01:33,345.2,10.6
2018-01-20 00:01:34,341.4,10.21
2018-01-20 00:01:35,338.1,10.25
2018-01-20 00:01:36,338.8,9.85
2018-01-20 00:01:37,343.1,9.83
2018-01-20 00:01:38,350.1,9.56
2018-01-20 00:01:39,348.9,10.42
2018-01-20 00:01:40,345.9,10.16
2018-01-20 00:01:41,344.9,10.74
2018-01-20 00:01:42,347.5,11.27
2018-01-20 00:01:43,348.5,11.19
2018-01-20 00:01:44,344.9,11.04
2018-01-20 00:01:45,344.6,11.11
2018-01-20 00:01:46,339.7,10.66
2018-01-20 00:01:47,340.8,11.27
2018-01-20 00:01:48,353.7,11.2
2018-01-20 00:01:49,353.9,11.32
2018-01-20 00:01:50,350.4,10.61
2018-01-20 00:01:51,351.0,10.68
2018-01-20 00:01:52,351.8,10.2
2018-01-20 00:01:53,349.5,10.84
2018-01-20 00:01:54,343.5,10.68
2018-01-20 00:01:55,346.2,9.58
2018-01-20 00:01:56,352.0,10.42
2018-01-20 00:01:57,350.7,11.19
2018-01-20 00:01:58,346.5,10.68
2018-01-20 00:01:59,345.5,11.33
2018-01-20 00:02:00,345.6,11.35
2018-01-20 00:02:01,346.4,11.51
2018-01-20 00:02:02,339.8,10.13
2018-01-20 00:02:03,346.6,10.64
2018-01-20 00:02:04,345.4,11.02
2018-01-20 00:02:05,339.3,10.5
2018-01-20 00:02:06,339.1,11.54
2018-01-20 00:02:07,338.7,12.13
2018-01-20 00:02:08,328.0,10.79
2018-01-20 00:02:09,323.4,10.95
2018-01-20 00:02:10,323.4,12.66
2018-01-20 00:02:11,330.7,10.98
2018-01-20 00:02:12,333.3,10.53
2018-01-20 00:02:13,323.4,11.86
2018-01-20 00:02:14,326.7,12.48
2018-01-20 00:02:15,331.4,13.17
2018-01-20 00:02:16,338.2,14.13
2018-01-20 00:02:17,340.6,14.78
2018-01-20 00:02:18,339.2,14.3
2018-01-20 00:02:19,350.3,11.77
2018-01-20 00:02:20,350.1,11.26
2018-01-20 00:02:21,358.6,10.47
2018-01-20 00:02:22,353.7,10.02
2018-01-20 00:02:23,343.3,10.19
2018-01-20 00:02:24,341.1,10.59
2018-01-20 00:02:25,339.5,10.72
2018-01-20 00:02:26,338.6,10.6
2018-01-20 00:02:27,343.4,10.11
2018-01-20 00:02:28,345.0,9.3
2018-01-20 00:02:29,349.0,9.56
2018-01-20 00:02:30,353.5,10.36
2018-01-20 00:02:31,352.5,11.67
2018-01-20 00:02:32,351.9,10.23
2018-01-20 00:02:33,351.1,9.5
2018-01-20 00:02:34,342.3,10.78
2018-01-20 00:02:35,339.2,10.85
2018-01-20 00:02:36,340.3,11.43
2018-01-20 00:02:37,330.5,12.77
2018-01-20 00:02:38,333.5,12.51
2018-01-20 00:02:39,329.0,11.29
2018-01-20 00:02:40,329.0,10.87
2018-01-20 00:02:41,331.5,9.91
2018-01-20 00:02:42,331.6,9.62
2018-01-20 00:02:43,337.5,11.76
2018-01-20 00:02:44,338.7,12.9
2018-01-20 00:02:45,339.1,11.5
2018-01-20 00:02:46,344.2,10.74
2018-01-20 00:02:47,341.5,10.58
2018-01-20 00:02:48,333.5,10.61
2018-01-20 00:02:49,338.3,10.81
2018-01-20 00:02:50,341.2,11.27
2018-01-20 00:02:51,345.5,11.54
2018-01-20 00:02:52,346.5,11.07
2018-01-20 00:02:53,345.1,11.77
2018-01-20 00:02:54,348.6,13.01
2018-01-20 00:02:55,348.3,14.01
2018-01-20 00:02:56,351.7,13.79
2018-01-20 00:02:57,350.7,13.86
2018-01-20 00:02:58,348.7,14.86
2018-01-20 00:02:59,347.4,13.72
2018-01-20 00:03:00,349.7,12.9
2018-01-20 00:03:01,348.4,13.14
2018-01-20 00:03:02,347.2,12.69
2018-01-20 00:03:03,346.4,13.03
2018-01-20 00:03:04,343.6,12.9
2018-01-20 00:03:05,341.6,12.05
2018-01-20 00:03:06,343.5,11.63
2018-01-20 00:03:07,348.6,11.79
2018-01-20 00:03:08,348.7,12.26
2018-01-20 00:03:09,348.3,12.33
2018-01-20 00:03:10,344.9,12.28
2018-01-20 00:03:11,342.0,13.04
2018-01-20 00:03:12,341.2,12.64
2018-01-20 00:03:13,341.3,12.5
2018-01-20 00:03:14,341.2,12.36
2018-01-20 00:03:15,339.0,11.96
2018-01-20 00:03:16,339.0,11.12
2018-01-20 00:03:17,338.4,10.39
2018-01-20 00:03:18,340.6,9.24
2018-01-20 00:03:19,347.6,9.6
2018-01-20 00:03:20,346.4,9.11
2018-01-20 00:03:21,350.4,10.17
2018-01-20 00:03:22,349.5,10.14
2018-01-20 00:03:23,347.2,9.9
2018-01-20 00:03:24,347.2,9.53
2018-01-20 00:03:25,343.6,10.89
2018-01-20 00:03:26,354.0,11.58
2018-01-20 00:03:27,351.0,12.27
2018-01-20 00:03:28,353.2,10.42
2018-01-20 00:03:29,345.2,10.22
2018-01-20 00:03:30,343.7,10.46
2018-01-20 00:03:31,341.6,9.67
2018-01-20 00:03:32,340.1,9.94
2018-01-20 00:03:33,337.4,10.01
2018-01-20 00:03:34,342.6,9.65
2018-01-20 00:03:35,334.2,10.0
2018-01-20 00:03:36,340.1,9.19
2018-01-20 00:03:37,343.7,9.34
2018-01-20 00:03:38,344.7,10.55
2018-01-20 00:03:39,344.4,10.28
2018-01-20 00:03:40,337.9,9.34
2018-01-20 00:03:41,341.6,8.7
2018-01-20 00:03:42,343.7,9.49
2018-01-20 00:03:43,347.3,9.8
2018-01-20 00:03:44,342.9,9.08
2018-01-20 00:03:45,337.8,9.2
2018-01-20 00:03:46,341.2,9.09
2018-01-20 00:03:47,339.8,8.07
2018-01-20 00:03:48,339.1,8.48
2018-01-20 00:03:49,338.4,9.24
2018-01-20 00:03:50,336.5,9.86
2018-01-20 00:03:51,337.2,9.58
2018-01-20 00:03:52,340.1,8.93
2018-01-20 00:03:53,337.9,10.16
2018-01-20 00:03:54,336.6,10.44
2018-01-20 00:03:55,335.1,10.42
2018-01-20 00:03:56,335.5,9.73
2018-01-20 00:03:57,337.1,8.71
2018-01-20 00:03:58,337.3,9.15
2018-01-20 00:03:59,338.6,8.41
2018-01-20 00:04:00,339.9,7.872999999999999
2018-01-20 00:04:01,344.6,8.3
2018-01-20 00:04:02,342.7,7.912999999999999
2018-01-20 00:04:03,344.1,7.992999999999999
2018-01-20 00:04:04,343.4,8.41
2018-01-20 00:04:05,342.6,8.26
2018-01-20 00:04:06,350.4,8.71
2018-01-20 00:04:07,350.6,10.36
2018-01-20 00:04:08,350.2,10.81
2018-01-20 00:04:09,348.9,10.08
2018-01-20 00:04:10,348.6,10.31
2018-01-20 00:04:11,344.4,9.17
2018-01-20 00:04:12,343.1,8.43
2018-01-20 00:04:13,345.6,9.25
2018-01-20 00:04:14,346.5,9.69
2018-01-20 00:04:15,344.5,9.72
2018-01-20 00:04:16,345.0,9.16
2018-01-20 00:04:17,344.4,10.23
2018-01-20 00:04:18,341.0,10.83
2018-01-20 00:04:19,341.5,9.19
2018-01-20 00:04:20,349.5,9.18
2018-01-20 00:04:21,346.6,11.32
2018-01-20 00:04:22,345.2,11.99
2018-01-20 00:04:23,348.4,10.62
2018-01-20 00:04:24,343.0,9.92
2018-01-20 00:04:25,346.2,10.22
2018-01-20 00:04:26,344.0,10.86
2018-01-20 00:04:27,346.0,11.02
2018-01-20 00:04:28,345.9,10.92
2018-01-20 00:04:29,346.5,11.2
2018-01-20 00:04:30,340.4,10.3
2018-01-20 00:04:31,339.1,11.21
2018-01-20 00:04:32,340.3,10.89
2018-01-20 00:04:33,337.8,9.63
2018-01-20 00:04:34,338.4,9.86
2018-01-20 00:04:35,335.0,9.97
2018-01-20 00:04:36,335.8,9.55
2018-01-20 00:04:37,335.6,8.97
2018-01-20 00:04:38,343.9,8.86
2018-01-20 00:04:39,344.5,9.53
2018-01-20 00:04:40,347.3,10.08
2018-01-20 00:04:41,346.2,9.56
2018-01-20 00:04:42,344.7,9.24
2018-01-20 00:04:43,350.4,9.89
2018-01-20 00:04:44,349.6,9.85
2018-01-20 00:04:45,349.6,9.37
2018-01-20 00:04:46,345.5,9.31
2018-01-20 00:04:47,345.0,9.64
2018-01-20 00:04:48,343.7,10.12
2018-01-20 00:04:49,341.1,10.18
2018-01-20 00:04:50,342.7,9.35
2018-01-20 00:04:51,343.0,9.58
2018-01-20 00:04:52,343.1,9.69
2018-01-20 00:04:53,342.5,10.57
2018-01-20 00:04:54,339.1,10.45
2018-01-20 00:04:55,343.8,10.35
2018-01-20 00:04:56,345.0,10.03
2018-01-20 00:04:57,340.0,10.24
2018-01-20 00:04:58,338.3,10.67
2018-01-20 00:04:59,338.3,10.38
2018-01-20 00:05:00,338.7,11.65
2018-01-20 00:05:01,343.7,13.4
2018-01-20 00:05:02,343.5,12.35
2018-01-20 00:05:03,335.4,11.39
2018-01-20 00:05:04,332.3,12.31
2018-01-20 00:05:05,337.6,13.52
2018-01-20 00:05:06,339.5,13.27
2018-01-20 00:05:07,344.7,12.59
2018-01-20 00:05:08,347.3,12.18
2018-01-20 00:05:09,345.1,12.49
2018-01-20 00:05:10,345.2,12.34
2018-01-20 00:05:11,346.8,12.57
2018-01-20 00:05:12,344.6,11.75
2018-01-20 00:05:13,345.4,12.09
2018-01-20 00:05:14,349.9,12.58
2018-01-20 00:05:15,349.6,12.59
2018-01-20 00:05:16,347.9,12.26
2018-01-20 00:05:17,347.1,11.72
2018-01-20 00:05:18,343.0,12.21
2018-01-20 00:05:19,344.2,12.12
2018-01-20 00:05:20,344.9,12.28
2018-01-20 00:05:21,347.8,11.81
2018-01-20 00:05:22,346.5,11.83
2018-01-20 00:05:23,346.8,12.02
2018-01-20 00:05:24,347.8,11.62
2018-01-20 00:05:25,344.9,11.37
2018-01-20 00:05:26,344.8,11.52
2018-01-20 00:05:27,339.1,11.19
2018-01-20 00:05:28,340.5,11.37
2018-01-20 00:05:29,341.4,10.86
2018-01-20 00:05:30,343.5,11.38
2018-01-20 00:05:31,340.5,11.04
2018-01-20 00:05:32,341.1,10.4
2018-01-20 00:05:33,341.0,10.63
2018-01-20 00:05:34,345.0,12.28
2018-01-20 00:05:35,347.5,13.03
2018-01-20 00:05:36,339.9,12.87
2018-01-20 00:05:37,342.3,12.46
2018-01-20 00:05:38,341.7,11.75
2018-01-20 00:05:39,342.1,11.17
2018-01-20 00:05:40,345.9,10.98
2018-01-20 00:05:41,343.4,10.98
2018-01-20 00:05:42,344.8,10.71
2018-01-20 00:05:43,346.2,10.7
2018-01-20 00:05:44,347.2,10.71
2018-01-20 00:05:45,339.2,10.36
2018-01-20 00:05:46,340.6,10.78
2018-01-20 00:05:47,342.3,10.54
2018-01-20 00:05:48,340.1,10.49
2018-01-20 00:05:49,338.5,10.41
2018-01-20 00:05:50,338.3,10.44
2018-01-20 00:05:51,336.9,10.62
2018-01-20 00:05:52,338.4,10.94
2018-01-20 00:05:53,339.4,11.33
2018-01-20 00:05:54,338.9,10.5
2018-01-20 00:05:55,342.6,10.49
2018-01-20 00:05:56,346.8,11.88
2018-01-20 00:05:57,346.4,12.33
2018-01-20 00:05:58,347.3,12.15
2018-01-20 00:05:59,346.2,11.81
2018-01-20 00:06:00,348.1,11.49
2018-01-20 00:06:01,349.1,11.84
2018-01-20 00:06:02,344.5,12.5
2018-01-20 00:06:03,346.0,12.42
2018-01-20 00:06:04,349.1,12.34
2018-01-20 00:06:05,343.9,12.04
